Rule No #,Path,Terminologi Used,Deskripsi Error,Last Update,Version,,
10841,Condition.onsetPeriod.start,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:13,10 Desember 2025,v2.0,,
10403,Condition.recordedDate,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10678,Condition.recorder,Reference ke Practitioner,Referensi pada elemen Condition.recorder harus mengarah ke resource Practitioner.,10 Desember 2025,v2.0,,
10825,Condition.stage.assessment,Reference to ClinicalImpression,Referensi pada elemen Condition.stage.assessment harus mengarah ke resource ClinicalImpression.,10 Desember 2025,v2.0,,
10411,Condition.stage.summary,"http://terminology.kemkes.go.id/CodeSystem/clinical-term
http://snomed.info/sct","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Condition.stage.summary",14 Maret 2024,v1.0,,
10412,Condition.stage.type,http://snomed.info/sct,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Condition.stage.summary",14 Maret 2024,v1.0,,
10125,Condition.subject,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10170,Condition.verificationStatus,http://terminology.hl7.org/CodeSystem/condition-ver-status,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Condition.verificationStatus",14 Maret 2024,v1.0,,
,Coverage.identifier,https://sys-ids.kemkes.go.id/insurance,Identifier pada elemen Coverage.identifier harus menggunakan sistem https://sys-ids.kemkes.go.id/insurance.,10 Desember 2025,v2.0,,
10900,Coverage.payor.display,Mandatory,Elemen Coverage.payor.display wajib diisi.,10 Desember 2025,v2.0,,
10212,CoverageEligibilityResponse.insurance.coverage,Reference ke Coverage,Referensi pada elemen CoverageEligibilityResponse.insurance.coverage harus mengarah ke resource Coverage.,10 Desember 2025,v2.0,,
10776,CoverageEligibilityResponse.insurance.item.benefit.allowedMoney.currency,urn:iso:std:iso:4217,Nilai pada elemen CoverageEligibilityResponse.insurance.item.benefit.allowedMoney.currency dapat diisi dengan kode 'IDR' sesuai standar ISO 4217.,10 Desember 2025,v2.0,,
10776,CoverageEligibilityResponse.insurance.item.benefit.allowedMoney.value,decimal,Nilai pada elemen CoverageEligibilityResponse.insurance.item.benefit.allowedMoney.value harus valid sesuai aturan: Tipe data decimal.,10 Desember 2025,v2.0,,
10775,CoverageEligibilityResponse.insurance.item.benefit.type,http://terminology.hl7.org/CodeSystem/benefit-type,Nilai pada elemen CoverageEligibilityResponse.insurance.item.benefit.type harus diisi menggunakan kode yang valid dari sistem terminologi http://terminology.hl7.org/CodeSystem/benefit-type.,10 Desember 2025,v2.0,,
10208,CoverageEligibilityResponse.request,Reference ke CoverageEligibilityRequest,Referensi pada elemen CoverageEligibilityResponse.request harus mengarah ke resource CoverageEligibilityRequest.,10 Desember 2025,v2.0,,
10387,DiagnosticReport.basedOn,ServiceRequest/{id-resource-ServiceRequest},Data DiagnosticReport.basedOn wajib dikirim dan Reference merujuk pada data ServiceRequest dengan {id-resource-ServiceRequest} adalah ID data yang sudah dikirim sebelumnya,14 Maret 2024,v1.0,,
10073,DiagnosticReport.category,http://terminology.hl7.org/CodeSystem/v2-0074,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab DiagnosticReport.category",14 Maret 2024,v1.0,,
10071,DiagnosticReport.code,"http://terminology.kemkes.go.id/CodeSystem/examination
http://loinc.org","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab DiagnosticReport.code",14 Maret 2024,v1.0,,
already exists,DiagnosticReport.code,http://terminology.kemkes.go.id/CodeSystem/examination ,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab DiagnosticReport.code",14 Maret 2024,v1.0,,
10074,DiagnosticReport.conclusionCode,"http://loinc.org
http://snomed.info/sct
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation
http://terminology.kemkes.go.id/CodeSystem/examination ","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab DiagnosticReport.conclusionCode",14 Maret 2024,v1.0,,
10379,DiagnosticReport.effectiveDateTime,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10145,DiagnosticReport.encounter,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10432,DiagnosticReport.identifier,http://sys-ids.kemkes.go.id/diagnostic/{{organization-ihs-number}}/lab,"- Data Diagnostic Report Laboratorium harus menggunakan codesystem http://sys-ids.kemkes.go.id/diagnostic/{{organization-ihs-number}}/lab dengan /{{organization-ihs-number}} adalah Organization ID faskes
- Data Diagnostic Report Radiologi harus menggunakan codesystem http://sys-ids.kemkes.go.id/diagnostic/{{organization-ihs-number}}/rad dengan /{{organization-ihs-number}} adalah Organization ID faskes",14 Maret 2024,v1.0,,
10359,DiagnosticReport.issued,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10384,DiagnosticReport.performer,Practitioner,Path DiagnosticReport.performer wajib dikirim dan merujuk pada resource Practitioner yang sudah dikirim sebelumnya,14 Maret 2024,v1.0,,
10385,DiagnosticReport.result ,Observation/{{observation-id}},Data DiagnosticReport.result wajib terisi dengan Reference merujuk pada data Observation dan {{observation-id}} adalah nomor ID Observation yang sudah dikirim sebelumnya,14 Maret 2024,v1.0,,
10386,DiagnosticReport.specimen,Specimen/{{specimen-id}},Data DiagnosticReport.specimen wajib terisi dengan Reference merujuk pada data Specimen dan {{specimen-id}} adalah ID specimen yang sudah dikirim sebelumnya,14 Maret 2024,v1.0,,
10072,DiagnosticReport.status,http://hl7.org/fhir/diagnostic-report-status,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab DiagnosticReport.status",14 Maret 2024,v1.0,,
10144,DiagnosticReport.subject,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10502,DocumentReference.date,not null,Data harus terisi (tidak boleh kosong),10 Desember 2025,v2.0,,
10304,Encounter.classHistory.class,http://terminology.hl7.org/CodeSystem/v3-ActCode,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.classHistory[i].class",14 Maret 2024,v1.0,,
10303,Encounter.classHistory.period.end,datetime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10302,Encounter.classHistory.period.start,datetime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10317,Encounter.diagnosis.use,http://terminology.hl7.org/CodeSystem/diagnosis-role,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.diagnosis.use",14 Maret 2024,v1.0,,
10430,Encounter.episodeOfCare,Reference EpisodeOfCare/{{EpisodeOfCare_uuid}},Path Encounter.episodeOfCare diisi dengan Reference yang merujuk pada data EpisodeOfCare dan {{EpisodeOfCare_uuid}} adalah nomor ID Episode of Care yang didapatkan dari server ketika melakukan POST data Episode of Care sebelumnya,14 Maret 2024,v1.0,,
10319,Encounter.hospitalization.admitSource,"http://terminology.hl7.org/CodeSystem/admit-source
http://terminology.kemkes.go.id/CodeSystem/clinical-term 
http://terminology.kemkes.go.id/CodeSystem/organization-type","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.hospitalization.admitSource",14 Maret 2024,v1.0,,
10319,Encounter.hospitalization.admitSource.coding,http://terminology.kemkes.go.id,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.hospitalization.admitSource.coding",10 Desember 2025,v2.0,,
10320,Encounter.hospitalization.dietPreference,http://terminology.hl7.org/CodeSystem/diet,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.hospitalization.dietPreference",14 Maret 2024,v1.0,,
10318,Encounter.hospitalization.dischargeDisposition,"http://hl7.org/fhir/ValueSet/encounter-discharge-disposition
http://terminology.hl7.org/CodeSystem/discharge-disposition
http://terminology.kemkes.go.id/CodeSystem/encounter-discharge-disposition","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.hospitalization.dischargeDisposition",14 Maret 2024,v1.0,,
10321,Encounter.hospitalization.reAdmission,http://terminology.hl7.org/CodeSystem/v2-0092,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.hospitalization.reAdmission",14 Maret 2024,v1.0,,
10322,Encounter.hospitalization.specialArrangement,http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.hospitalization.specialArrangement",14 Maret 2024,v1.0,,
10117,Encounter.identifier,"http://terminology.kemkes.go.id/CodeSystem/episodeofcare/ANC
http://terminology.kemkes.go.id/CodeSystem/episodeofcare/neonate
http://terminology.kemkes.go.id/CodeSystem/episodeofcare/puerperium","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.identifier",14 Maret 2024,v1.0,,
10117,Encounter.identifier,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10117,Encounter.identifier.system,http://sys-ids.kemkes.go.id/asik/{{org-id}},Data harus menggunakan codesystem http://sys-ids.kemkes.go.id/asik/{{org-id}} dengan {orgID} adalah Organization ID faskes,10 Desember 2025,v2.0,,
10117,Encounter.identifier.system,http://sys-ids.kemkes.go.id/sitb/{{org-id}},Data harus menggunakan codesystem http://sys-ids.kemkes.go.id/sitb/{{org-id}} dengan {{org_id}} adalah Organization ID faskes,10 Desember 2025,v2.0,,
10840,Encounter.length.code,http://unitsofmeasure.org ( Ranap = d Rajal/IGD/ODC = h dan min),Nilai pada elemen Encounter.length.code harus sesuai dengan sistem http://unitsofmeasure.org ( Ranap = d Rajal/IGD/ODC = h dan min).,10 Desember 2025,v2.0,,
10839,Encounter.length.value,decimal,Nilai pada elemen Encounter.length.value harus berupa tipe data decimal.,10 Desember 2025,v2.0,,
10165,Encounter.location.extension:serviceClass.upgradeClassIndicator,http://terminology.kemkes.go.id/CodeSystem/locationUpgradeClass,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.location.extension:serviceClass.upgradeClassIndicator",14 Maret 2024,v1.0,,
10164,Encounter.location.extension:serviceClass.value.valueCodeableConcept.coding.system,http://terminology.kemkes.go.id/CodeSystem/locationServiceClass,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.location.extension:serviceClass.value.valueCodeableConcept.coding.system",14 Maret 2024,v1.0,,
10120,Encounter.location.location,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10291,Encounter.location.period.end,datetime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10290,Encounter.location.period.start,datetime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10325,Encounter.location.status,http://hl7.org/fhir/encounter-location-status,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.location.status",14 Maret 2024,v1.0,,
10336,Encounter.participant,non mandatory if mpdn identifier,Path Encounter.participant tidak diwajibkan apabila pengirim berasal dari system MPDN,14 Maret 2024,v1.0,,
10119,Encounter.participant.individual,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10301,Encounter.participant.period.end,datetime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10121,Encounter.period,- ,"Jika elemen Encounter.status bernilai 'finished', maka Encounter.period.start dan Encounter.period.end wajib diisi, serta nilai Encounter.period.end harus lebih besar dari Encounter.period.start.""",10 Desember 2025,v2.0,,
10173,Encounter.period.end,future date,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00 dan value lebih dari value pada path Encounter.period.start,14 Maret 2024,v1.0,,
10123,Encounter.period.start,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10328,Encounter.priority,http://terminology.hl7.org/CodeSystem/v3-ActPriority,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.priority",14 Maret 2024,v1.0,,
10326,Encounter.reasonCode,http://hl7.org/fhir/sid/icd-10,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Immunization.vaccineCode",14 Maret 2024,v1.0,,
10782,Encounter.reasonCode.coding,http://snomed.info/sct,Nilai pada elemen Encounter.reasonCode.coding harus diisi menggunakan kode yang valid dari sistem terminologi http://snomed.info/sct.,10 Desember 2025,v2.0,,
10782,Encounter.reasonCode.coding,http://terminology.kemkes.go.id,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.reasonCode.coding",10 Desember 2025,v2.0,,
10124,Encounter.serviceProvider,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10327,Encounter.serviceType,http://terminology.hl7.org/CodeSystem/service-type,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Encounter.serviceType",14 Maret 2024,v1.0,,
10121,Encounter.status,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10122,Encounter.statusHistory,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10118,Encounter.subject,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10111,EpisodeOfCare.diagnosis.role,http://terminology.hl7.org/CodeSystem/diagnosis-role,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab EpisodeOfCare.diagnosis.role",14 Maret 2024,v1.0,,
10458,EpisodeOfCare.identifier,http://sys-ids.kemkes.go.id/episode-of-care/{{org_id}} ,"Data harus menggunakan codesystem http://sys-ids.kemkes.go.id/episode-of-care/{{org_id}}  dengan {{org-id}} adalah Organization ID faskes
",14 Maret 2024,v1.0,,
10408,EpisodeOfCare.managingOrganization,Organization/{{org-id}},Data EpisodeOfCare.managingOrganization diisi dengan Reference merujuk pada data Organization dan {{org-id}} adalah Organization ID faskes,14 Maret 2024,v1.0,,
10157,EpisodeOfCare.patient,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10407,EpisodeOfCare.period.end,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10406,EpisodeOfCare.period.start,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10109,EpisodeOfCare.status,http://hl7.org/fhir/episode-of-care-status,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab EpisodeOfCare.status",14 Maret 2024,v1.0,,
10405,EpisodeOfCare.statusHistory.period.end,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10404,EpisodeOfCare.statusHistory.period.start,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10110,EpisodeOfCare.type,"http://terminology.hl7.org/CodeSystem/episodeofcare-type
http://terminology.kemkes.go.id/CodeSystem/episodeofcare-type","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab EpisodeOfCare.type",14 Maret 2024,v1.0,,
10110,EpisodeOfCare.type,http://terminology.kemkes.go.id,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab EpisodeOfCare.type",10 Desember 2025,v2.0,,
10707,FamilyMemberHistory.condition.code,http://snomed.info/sct,Nilai pada elemen FamilyMemberHistory.condition.code harus diisi menggunakan kode yang valid dari sistem terminologi http://snomed.info/sct.,10 Desember 2025,v2.0,,
10709,FamilyMemberHistory.condition.contributedToDeath,boolean,Nilai pada elemen FamilyMemberHistory.condition.contributedToDeath harus berupa tipe data boolean.,10 Desember 2025,v2.0,,
10695,FamilyMemberHistory.condition.onsetAge,Age,Nilai pada elemen FamilyMemberHistory.condition.onsetAge harus berupa tipe data Age.,10 Desember 2025,v2.0,,
10697,FamilyMemberHistory.condition.onsetPeriod.end,period,Format tanggal dan waktu pada elemen FamilyMemberHistory.condition.onsetPeriod.end harus berupa dateTime (YYYY-MM-DDThh:mm:ss+zz:zz).,10 Desember 2025,v2.0,,
10696,FamilyMemberHistory.condition.onsetPeriod.start,period,Format tanggal dan waktu pada elemen FamilyMemberHistory.condition.onsetPeriod.start harus berupa dateTime (YYYY-MM-DDThh:mm:ss+zz:zz).,10 Desember 2025,v2.0,,
10699,FamilyMemberHistory.condition.onsetRange.high.value,decimal,Nilai pada elemen FamilyMemberHistory.condition.onsetRange.high.value harus berupa tipe data decimal.,10 Desember 2025,v2.0,,
10698,FamilyMemberHistory.condition.onsetRange.low.value,decimal,Nilai pada elemen FamilyMemberHistory.condition.onsetRange.low.value harus berupa tipe data decimal.,10 Desember 2025,v2.0,,
10700,FamilyMemberHistory.condition.onsetString,string,Nilai pada elemen FamilyMemberHistory.condition.onsetString harus berupa tipe data string.,10 Desember 2025,v2.0,,
10708,FamilyMemberHistory.condition.outcome,http://snomed.info/sct,Nilai pada elemen FamilyMemberHistory.condition.outcome harus diisi menggunakan kode yang valid dari sistem terminologi http://snomed.info/sct.,10 Desember 2025,v2.0,,
10702,FamilyMemberHistory.deceasedAge,age,Nilai pada elemen FamilyMemberHistory.deceasedAge harus berupa tipe data Age.,10 Desember 2025,v2.0,,
10701,FamilyMemberHistory.deceasedBoolean,boolean,Nilai pada elemen FamilyMemberHistory.deceasedBoolean harus berupa tipe data boolean.,10 Desember 2025,v2.0,,
10705,FamilyMemberHistory.deceasedDate,date,Data harus menggunakan format date YYYY-MM-DD,10 Desember 2025,v2.0,,
10704,FamilyMemberHistory.deceasedRange.high.value,decimal,Nilai pada elemen FamilyMemberHistory.deceasedRange.high.value harus berupa tipe data decimal.,10 Desember 2025,v2.0,,
10703,FamilyMemberHistory.deceasedRange.low.value,decimal,Nilai pada elemen FamilyMemberHistory.deceasedRange.low.value harus berupa tipe data decimal.,10 Desember 2025,v2.0,,
10706,FamilyMemberHistory.deceasedString,string,Nilai pada elemen FamilyMemberHistory.deceasedString harus berupa tipe data string.,10 Desember 2025,v2.0,,
10158,FamilyMemberHistory.patient,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10158,FamilyMemberHistory.patient,Reference ke Patient,Referensi pada elemen FamilyMemberHistory.patient harus mengarah ke resource Patient.,10 Desember 2025,v2.0,,
10114,FamilyMemberHistory.relationship,"http://snomed.info/sct
http://terminology.hl7.org/CodeSystem/v3-RoleCode","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab FamilyMemberHistory.relationship",14 Maret 2024,v1.0,,
10113,FamilyMemberHistory.status,http://hl7.org/fhir/codesystem-history-status.html,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab FamilyMemberHistory.status",14 Maret 2024,v1.0,,
10731,Goal.achievementStatus,http://terminology.hl7.org/CodeSystem/goal-achievement,Nilai pada elemen Goal.achievementStatus harus diisi menggunakan kode yang valid dari sistem terminologi http://terminology.hl7.org/CodeSystem/goal-achievement.,10 Desember 2025,v2.0,,
10826,Goal.addresses,Reference to Condition,Referensi pada elemen Goal.addresses harus mengarah ke resource Condition.,10 Desember 2025,v2.0,,
10732,Goal.category,http://terminology.hl7.org/CodeSystem/goal-category,Nilai pada elemen Goal.category harus diisi menggunakan kode yang valid dari sistem terminologi http://terminology.hl7.org/CodeSystem/goal-category.,10 Desember 2025,v2.0,,
10733,Goal.description,http://snomed.info/sct,Nilai pada elemen Goal.description harus diisi menggunakan kode yang valid dari sistem terminologi http://snomed.info/sct.,10 Desember 2025,v2.0,,
10751,Goal.expressedBy,Reference ke Practitioner,Referensi pada elemen Goal.expressedBy harus mengarah ke resource Practitioner.,10 Desember 2025,v2.0,,
10730,Goal.lifecycleStatus,http://hl7.org/fhir/goal-status,Nilai pada elemen Goal.lifecycleStatus harus sesuai dengan sistem http://hl7.org/fhir/goal-status.,10 Desember 2025,v2.0,,
10752,Goal.outcomeCode,http://snomed.info/sct,Nilai pada elemen Goal.outcomeCode harus diisi menggunakan kode yang valid dari sistem terminologi http://snomed.info/sct.,10 Desember 2025,v2.0,,
10752,Goal.outcomeCode,http://terminology.kemkes.go.id,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Goal.outcomeCode",10 Desember 2025,v2.0,,
10753,Goal.outcomeReference,Reference ke Observation,Referensi pada elemen Goal.outcomeReference harus mengarah ke resource Observation.,10 Desember 2025,v2.0,,
10846,Goal.statusDate,date,Data harus menggunakan format date YYYY-MM-DD,10 Desember 2025,v2.0,,
10734,Goal.subject,Reference ke Patient,Referensi pada elemen Goal.subject harus mengarah ke resource Patient.,10 Desember 2025,v2.0,,
10742,Goal.target.detailBoolean,boolean,Nilai pada elemen Goal.target.detailBoolean harus berupa tipe data boolean.,10 Desember 2025,v2.0,,
10740,Goal.target.detailCodeableConcept,http://snomed.info/sct,Nilai pada elemen Goal.target.detailCodeableConcept harus diisi menggunakan kode yang valid dari sistem terminologi http://snomed.info/sct.,10 Desember 2025,v2.0,,
10743,Goal.target.detailInteger,integer,Nilai pada elemen Goal.target.detailInteger harus berupa tipe data integer.,10 Desember 2025,v2.0,,
10737,Goal.target.detailQuantity.code,http://unitsofmeasure.org,"Data harus menggunakan Kode satuan atau unit dapat menggunakan kode yang disediakan oleh Unified Code for
Units of Measure (UCUM). Daftar kode satuan dapat diakses  disini",10 Desember 2025,v2.0,,
10736,Goal.target.detailQuantity.value,decimal,Nilai pada elemen Goal.target.detailQuantity.value harus berupa tipe data decimal.,10 Desember 2025,v2.0,,
10738,Goal.target.detailRange.high.value,decimal,Nilai pada elemen Goal.target.detailRange.high.value harus berupa tipe data decimal.,10 Desember 2025,v2.0,,
10739,Goal.target.detailRange.low.value,decimal,Nilai pada elemen Goal.target.detailRange.low.value harus berupa tipe data decimal.,10 Desember 2025,v2.0,,
10746,Goal.target.detailRatio.denominator.system,http://unitsofmeasure.org,"Data harus menggunakan Kode satuan atau unit dapat menggunakan kode yang disediakan oleh Unified Code for
Units of Measure (UCUM). Daftar kode satuan dapat diakses  disini",10 Desember 2025,v2.0,,
10747,Goal.target.detailRatio.denominator.value,decimal,Nilai pada elemen Goal.target.detailRatio.denominator.value harus berupa tipe data decimal.,10 Desember 2025,v2.0,,
10744,Goal.target.detailRatio.numerator.system,http://unitsofmeasure.org,"Data harus menggunakan Kode satuan atau unit dapat menggunakan kode yang disediakan oleh Unified Code for
Units of Measure (UCUM). Daftar kode satuan dapat diakses  disini",10 Desember 2025,v2.0,,
10745,Goal.target.detailRatio.numerator.value,decimal,Nilai pada elemen Goal.target.detailRatio.numerator.value harus berupa tipe data decimal.,10 Desember 2025,v2.0,,
10741,Goal.target.detailString,string,Nilai pada elemen Goal.target.detailString harus berupa tipe data string.,10 Desember 2025,v2.0,,
10748,Goal.target.dueDate,date,Data harus menggunakan format date YYYY-MM-DD,10 Desember 2025,v2.0,,
10750,Goal.target.dueDuration,http://unitsofmeasure.org,"Data harus menggunakan Kode satuan atau unit dapat menggunakan kode yang disediakan oleh Unified Code for
Units of Measure (UCUM). Daftar kode satuan dapat diakses  disini",10 Desember 2025,v2.0,,
10735,Goal.target.measure,http://loinc.org,Nilai pada elemen harus diisi menggunakan kode yang valid dari sistem terminologi http://loinc.org.,10 Desember 2025,v2.0,,
10154,ImagingStudy.basedOn,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10150,ImagingStudy.identifier,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10152,ImagingStudy.modality,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10424,ImagingStudy.started,dateTime,Data harus menggunakan format datetime,14 Maret 2024,v1.0,,
10151,ImagingStudy.status,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10153,ImagingStudy.subject,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10293,Immunization.encounter,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10307,Immunization.expirationDate,,Value pada path Immunization.expirationDate wajib diisi pada pengiriman resource Immunization dengan use case imunisasi dilakukan oleh nakes,14 Maret 2024,v1.0,,
10307,Immunization.expirationDate,Immunization.expiratonDate > Immunization.occurenceDateTime,Nilai Immunization.expiratonDate harus lebih besar dari Immunization.occurenceDateTime.,10 Desember 2025,v2.0,,
10426,Immunization.fundingSource,"http://terminology.hl7.org/CodeSystem/immunization-funding-source
http://terminology.kemkes.go.id/CodeSystem/immunization-fundingSource ","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Immunization.fundingSource",14 Maret 2024,v1.0,,
10305,Immunization.location,not null if,Data immunization.location wajib diisi pada pengiriman resource Immunization jika Immunization.status = completed,14 Maret 2024,v1.0,,
10306,Immunization.lotNumber,not null if,Data immunization.lotNumber harus terisi pada pengiriman resource Immunization dengan use case imunisasi dilakukan oleh nakes,14 Maret 2024,v1.0,,
10156,Immunization.occurrence[x],not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10155,Immunization.patient,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10294,Immunization.performer.actor,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10104,Immunization.performer.function,http://terminology.hl7.org/3.1.0/CodeSystem-v2-0443.html,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Immunization.performer.function",14 Maret 2024,v1.0,,
10292,Immunization.primarySource,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10450,Immunization.protocolApplied,,"Data harus menggunakan codesystem yang sesuai, lihat penggunaan path secara secara lengkap disini ",14 Maret 2024,v1.0,,
10456,Immunization.protocolApplied.doseNumberPositiveInt,Integer must be more than 0,"Data wajib terisi menggunakan codesystem yang sesuai, lihat penggunaan path secara secara lengkap disini ",14 Maret 2024,v1.0,,
10819,Immunization.reaction.date,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:12,10 Desember 2025,v2.0,,
