Rule No #,Path,Terminologi Used,Deskripsi Error,Last Update,Version,,
10078,AllergyIntolerance.code,"http://snomed.info/sct
http://sys-ids.kemkes.go.id/kfa
http://terminology.kemkes.go.id/CodeSystem/clinical-term","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab AllergyIntolerance.code",14 Maret 2024,v1.0,,
10078,AllergyIntolerance.code,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10077,AllergyIntolerance.criticality,http://hl7.org/fhir/allergy-intolerance-criticality,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab AllergyIntolerance.criticality",14 Maret 2024,v1.0,,
10374,AllergyIntolerance.encounter,"Encounter/{id-resource-Encounter}""",Path AllergyIntolerance.encounter wajib diisi dan merujuk pada data Encounter dan {id-resource-Encounter} adalah nomor ID Encounter yang didapatkan dari server ketika melakukan POST data encounter,14 Maret 2024,v1.0,,
10443,AllergyIntolerance.identifier,http://sys-ids.kemkes.go.id/allergy/{{org-id}} ,Data harus menggunakan codesystem http://sys-ids.kemkes.go.id/allergy/{{org-id}} dengan {{org-id}} adalah Organization ID faskes,14 Maret 2024,v1.0,,
10147,AllergyIntolerance.patient,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10358,AllergyIntolerance.recordedDate,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10375,AllergyIntolerance.recorder,Practitioner/{practitioner-ihs-number},Path AllergyIntolerance.recorder wajib terisi dengan Reference yang merujuk pada data Practitioner dan {practitioner-ihs-number} adalah nomor ID tenaga kesehatan yang didapatkan dari Master Nakes Indeks.,14 Maret 2024,v1.0,,
10079,AllergyIntolerance.verificationStatus,http://terminology.hl7.org/CodeSystem/allergyintolerance-verification,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab AllergyIntolerance.verificationStatus",14 Maret 2024,v1.0,,
10382,CarePlan.author,"""Practitioner/{practitioner-ihs-number}""",Path CarePlan.author wajib terisi dengan Reference yang merujuk pada data Practitioner dan {practitioner-ihs-number} adalah nomor ID tenaga kesehatan yang didapatkan dari Master Nakes Indeks.,14 Maret 2024,v1.0,,
10330,CarePlan.category,"http://terminology.kemkes.go.id/CodeSystem/care-plan-category 
http://snomed.info/sct","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab CarePlan.category",14 Maret 2024,v1.0,,
10324,CarePlan.created,Validasi format nilai timestamp dengan menggunakan format (YYYY-MM-DD HH:MM:SS UTC),Data harus menggunakan format datetime,14 Maret 2024,v1.0,,
10328,CarePlan.description,,Path CarePlan.description wajib dikirimkan saat mengirim resouce CarePlan,14 Maret 2024,v1.0,,
10381,CarePlan.encounter,"""Encounter/{id-resource-Encounter}""","Path CarePlan.encounter wajib terisi dengan Reference yang merujuk pada data Encounter dan {id-resource-Encounter} adalah nomor ID Encounter yang didapatkan dari server ketika melakukan POST data encounter
",14 Maret 2024,v1.0,,
10116,CarePlan.intent,http://hl7.org/fhir/ValueSet/care-plan-intent,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab CarePlan.intent",14 Maret 2024,v1.0,,
10116,CarePlan.intent,http://hl7.org/fhir/request-intent,Nilai pada elemen CarePlan.intent harus sesuai dengan sistem http://hl7.org/fhir/request-intent.,10 Desember 2025,v2.0,,
10115,CarePlan.status,http://hl7.org/fhir/ValueSet/request-status,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab CarePlan.status",14 Maret 2024,v1.0,,
10115,CarePlan.status,http://hl7.org/fhir/request-status,Nilai pada elemen CarePlan.status harus sesuai dengan sistem http://hl7.org/fhir/request-status.,10 Desember 2025,v2.0,,
10380,CarePlan.subject ,"""Patient/{patient-ihs-number}""","Path CarePlan.subject wajib terisi dengan Reference yang merujuk pada data Patient dan {patient-ihs-number} adalah nomor ID Patient yang didapatkan dari Master Patient Index
",14 Maret 2024,v1.0,,
10329,CarePlan.title,-,Path CarePlan.title wajib terisi saat mengirim resource CarePlan dengan nama rencana perawatan dalam bentuk string.,14 Maret 2024,v1.0,,
10222,ChargeItem.account,Reference ke Account,Referensi pada elemen ChargeItem.account harus mengarah ke resource Account.,10 Desember 2025,v2.0,,
10218,ChargeItem.context,Reference ke Encounter,Referensi pada elemen ChargeItem.context harus mengarah ke resource Encounter.,10 Desember 2025,v2.0,,
10785,ChargeItem.performer.actor,Reference to Practitioner,Referensi pada elemen ChargeItem.performer.actor harus mengarah ke resource Practitioner.,10 Desember 2025,v2.0,,
10681,ChargeItem.performer.function,http://snomed.info/sct,Nilai pada elemen ChargeItem.performer.function harus diisi menggunakan kode yang valid dari sistem terminologi http://snomed.info/sct.,10 Desember 2025,v2.0,,
10681,ChargeItem.performer.function,http://terminology.kemkes.go.id,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab ChargeItem.performer.function",10 Desember 2025,v2.0,,
10217,ChargeItem.subject,Reference ke Patient,Referensi pada elemen ChargeItem.subject harus mengarah ke resource Patient.,10 Desember 2025,v2.0,,
10246,Claim.enterer,Reference ke Practitioner,Referensi pada elemen Claim.enterer harus mengarah ke resource Practitioner.,10 Desember 2025,v2.0,,
10253,Claim.facility,Reference ke Location,Referensi pada elemen Claim.facility harus mengarah ke resource Location.,10 Desember 2025,v2.0,,
10264,Claim.insurance.coverage,Reference ke Coverage,Referensi pada elemen Claim.insurance.coverage harus mengarah ke resource Coverage.,10 Desember 2025,v2.0,,
10247,Claim.insurer,Reference ke Organization,Referensi pada elemen Claim.insurer harus mengarah ke resource Organization.,10 Desember 2025,v2.0,,
10619,Claim.item.productOrService,http://terminology.kemkes.go.id/CodeSystem/kptl,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab  Claim.item.productOrService h",10 Desember 2025,v2.0,,
10619,Claim.item.productOrService,http://sys-ids.kemkes.go.id/kfa,Data harus menggunakan Kode Claim.item.productOrService dapat diisi dengan kode KFA sesuai dengan use case masing-masing. Untuk keterangan lebih lanjut dapat melihat dalam playbook masing-masing usecase.,10 Desember 2025,v2.0,,
10243,Claim.patient,Reference ke Patient,Referensi pada elemen Claim.patient harus mengarah ke resource Patient.,10 Desember 2025,v2.0,,
10252,Claim.payee.party,Reference ke Organization,Referensi pada elemen Claim.payee.party harus mengarah ke resource Organization.,10 Desember 2025,v2.0,,
10248,Claim.provider,Reference ke Organization,Referensi pada elemen Claim.provider harus mengarah ke resource Organization.,10 Desember 2025,v2.0,,
10810,Claim.supportingInfo.valueReference,Reference to Any,Elemen Claim.supportingInfo.valueReference dapat mereferensikan resource FHIR yang valid.,10 Desember 2025,v2.0,,
10266,Claim.total.currency,urn:iso:std:iso:4217,Nilai pada elemen Claim.total.currency dapat diisi dengan kode 'IDR' sesuai standar ISO 4217.,10 Desember 2025,v2.0,,
10266,Claim.total.value,decimal,Nilai pada elemen Claim.total.value harus valid sesuai aturan: Tipe data decimal.,10 Desember 2025,v2.0,,
10284,ClaimResponse.adjudication.amount.currency,urn:iso:std:iso:4217,Nilai pada elemen ClaimResponse.adjudication.amount.currency dapat diisi dengan kode 'IDR' sesuai standar ISO 4217.,10 Desember 2025,v2.0,,
10284,ClaimResponse.adjudication.amount.value,decimal,Nilai pada elemen ClaimResponse.adjudication.amount.value harus valid sesuai aturan: Tipe data decimal.,10 Desember 2025,v2.0,,
10283,ClaimResponse.adjudication.category,http://terminology.kemkes.go.id,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab ClaimResponse.adjudication.category",10 Desember 2025,v2.0,,
10284,ClaimResponse.adjudication.reason,http://terminology.kemkes.go.id,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab ClaimResponse.adjudication.reason",10 Desember 2025,v2.0,,
10514,ClaimResponse.identifier,http://sys-ids.kemkes.go.id/claim-batch-number/{org_id},Data harus menggunakan codesystem http://sys-ids.kemkes.go.id/claim-batch-number/{org_id} dengan {org_id} adalah Organization ID Fasyankes.,10 Desember 2025,v2.0,,
10514,ClaimResponse.identifier,http://sys-ids.kemkes.go.id/claim-number/{org_id} --> org id Asuransi,Data harus menggunakan codesystem http://sys-ids.kemkes.go.id/claim-number/{org_id} dengan {org_id} adalah Organization ID Asuransi.,10 Desember 2025,v2.0,,
10276,ClaimResponse.insurer,Reference ke Organization,Referensi pada elemen ClaimResponse.insurer harus mengarah ke resource Organization.,10 Desember 2025,v2.0,,
10779,ClaimResponse.item.adjudication.amount.currency,urn:iso:std:iso:4217,Nilai pada elemen ClaimResponse.item.adjudication.amount.currency dapat diisi dengan kode 'IDR' sesuai standar ISO 4217.,10 Desember 2025,v2.0,,
10779,ClaimResponse.item.adjudication.amount.value,decimal,Nilai pada elemen ClaimResponse.item.adjudication.amount.value harus valid sesuai aturan: Tipe data decimal.,10 Desember 2025,v2.0,,
10778,ClaimResponse.item.adjudication.category,http://terminology.hl7.org/CodeSystem/adjudication,Nilai pada elemen ClaimResponse.item.adjudication.category harus diisi menggunakan kode yang valid dari sistem terminologi http://terminology.hl7.org/CodeSystem/adjudication.,10 Desember 2025,v2.0,,
10274,ClaimResponse.patient,Reference ke Patient,Referensi pada elemen ClaimResponse.patient harus mengarah ke resource Patient.,10 Desember 2025,v2.0,,
10278,ClaimResponse.request,Reference ke Claim,Referensi pada elemen ClaimResponse.request harus mengarah ke resource Claim.,10 Desember 2025,v2.0,,
10277,ClaimResponse.requestor,Reference ke Organization,Referensi pada elemen ClaimResponse.requestor harus mengarah ke resource Organization.,10 Desember 2025,v2.0,,
10272,ClaimResponse.subType,http://terminology.kemkes.go.id,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab ClaimResponse.subType",10 Desember 2025,v2.0,,
10286,ClaimResponse.total.currency,urn:iso:std:iso:4217,Nilai pada elemen ClaimResponse.total.currency dapat diisi dengan kode 'IDR' sesuai standar ISO 4217.,10 Desember 2025,v2.0,,
10286,ClaimResponse.total.value,decimal,Nilai pada elemen ClaimResponse.total.value harus valid sesuai aturan: Tipe data decimal.,10 Desember 2025,v2.0,,
10420,ClinicalImpression.assessor,Reference to Practitioner | PractitionerRole,Path ClinicalImpression.assessor diisi dengan Reference yang merujuk pada data Practitioner dan {practitioner-ihs-number} adalah nomor ID tenaga kesehatan yang didapatkan dari Master Nakes Indeks atau merujuk pada PractitionerRole,14 Maret 2024,v1.0,,
10845,ClinicalImpression.code,http://snomed.info/sct,Nilai pada elemen ClinicalImpression.code harus diisi menggunakan kode yang valid dari sistem terminologi http://snomed.info/sct.,10 Desember 2025,v2.0,,
10845,ClinicalImpression.code,http://terminology.kemkes.go.id,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab ClinicalImpression.code",10 Desember 2025,v2.0,,
10419,ClinicalImpression.date,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10417,ClinicalImpression.effectiveDateTime ,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10149,ClinicalImpression.encounter,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10149,ClinicalImpression.encounter,Reference ke Encounter,Referensi pada elemen ClinicalImpression.encounter harus mengarah ke resource Encounter.,10 Desember 2025,v2.0,,
10082,ClinicalImpression.finding.itemCodeableConcept,http://hl7.org/fhir/sid/icd-10,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab ClinicalImpression.finding.itemCodeableConcept",14 Maret 2024,v1.0,,
10423,ClinicalImpression.finding.itemReference,Reference to Condition | Observation | Media,Path ClinicalImpression.finding.itemReference diisi dengan reference yang merujuk pada resource (Condition | Observation | Media) yang sudah dikirim sebelumnya,14 Maret 2024,v1.0,,
10418,ClinicalImpression.identifier,http://sys-ids.kemkes.go.id/clinicalimpression/{{org_id}},Data harus menggunakan codesystem http://sys-ids.kemkes.go.id/clinicalimpression/{{org_id}}  dengan {{org-id}} adalah Organization ID faskes,14 Maret 2024,v1.0,,
10081,ClinicalImpression.investigation.code,http://snomed.info/sct,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab ClinicalImpression.investigation.code",14 Maret 2024,v1.0,,
10422,ClinicalImpression.investigation.item ,Reference to Observation | QuestionnaireResponse | FamilyMemberHistory | DiagnosticReport | RiskAssessment | ImagingStudy | Media,Path ClinicalImpression.investigation.item diisi dengan reference yang merujuk pada resource (Observation | QuestionnaireResponse | FamilyMemberHistory | DiagnosticReport | RiskAssessment | ImagingStudy | Media) yang sudah dikirim sebelumnya,14 Maret 2024,v1.0,,
10421,ClinicalImpression.problem,Reference to Condition | Allergy Intolerance,Data ClinicalImpression.problem dengan reference yang merujuk pada data resource (Condition | Allergy Intolerance) dengan nomor ID yang sudah dikirim sebelumnya,14 Maret 2024,v1.0,,
10083,ClinicalImpression.prognosisCodeableConcept,"http://terminology.kemkes.go.id/CodeSystem/clinical-term
http://snomed.info/sct","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Clinicallimpression.prognosisCodeableConcept",14 Maret 2024,v1.0,,
10729,ClinicalImpression.prognosisReference,Reference ke RiskAssessment,Referensi pada elemen ClinicalImpression.prognosisReference harus mengarah ke resource RiskAssessment.,10 Desember 2025,v2.0,,
10080,ClinicalImpression.status,http://hl7.org/fhir/event-status,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab ClinicalImpression.status",14 Maret 2024,v1.0,,
10148,ClinicalImpression.subject,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10148,ClinicalImpression.subject,Reference ke Patient,Referensi pada elemen ClinicalImpression.subject harus mengarah ke resource Patient.,10 Desember 2025,v2.0,,
10663,Composition.attester.party,Reference ke Practitioner,Referensi pada elemen Composition.attester.party harus mengarah ke resource Practitioner.,10 Desember 2025,v2.0,,
10133,Composition.author,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10022,Composition.category,http://loinc.org,"Data harus menggunakan terminologi LOINC yang sesuai dengan use-case terkait, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Composition.category",14 Maret 2024,v1.0,,
10132,Composition.date,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10670,Composition.event.code,http://snomed.info/sct,Nilai pada elemen Composition.event.code harus diisi menggunakan kode yang valid dari sistem terminologi http://snomed.info/sct.,10 Desember 2025,v2.0,,
10673,Composition.event.detail.reference,Reference ke Practitioner,Referensi pada elemen Composition.event.detail.reference harus mengarah ke resource Practitioner.,10 Desember 2025,v2.0,,
10672,Composition.event.period.end,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:05,10 Desember 2025,v2.0,,
10671,Composition.event.period.start,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:04,10 Desember 2025,v2.0,,
10464,Composition.identifier,http://sys-ids.kemkes.go.id/composition/{orgID},Data harus menggunakan codesystem http://sys-ids.kemkes.go.id/composition/{orgID} dengan {orgID} adalah Organization ID faskes,10 Desember 2025,v2.0,,
10023,Composition.section.code,http://loinc.org,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Composition.section[i].code",14 Maret 2024,v1.0,,
10677,Composition.section.entry,Reference ke Location,Referensi pada elemen Composition.section.entry harus mengarah ke resource Location.,10 Desember 2025,v2.0,,
10677,Composition.section.entry,Reference ke Observation,Referensi pada elemen Composition.section.entry harus mengarah ke resource Observation.,10 Desember 2025,v2.0,,
10677,Composition.section.entry,Reference ke QuestionnaireResponse,Referensi pada elemen Composition.section.entry harus mengarah ke resource QuestionnaireResponse.,10 Desember 2025,v2.0,,
10677,Composition.section.entry,Reference Any,Elemen Composition.section.entry dapat mereferensikan resource FHIR yang valid.,10 Desember 2025,v2.0,,
10666,Composition.section.focus,Reference ke Patient,Referensi pada elemen Composition.section.focus harus mengarah ke resource Patient.,10 Desember 2025,v2.0,,
10666,Composition.section.focus,Reference to any,Elemen Composition.section.focus dapat mereferensikan resource FHIR yang valid.,10 Desember 2025,v2.0,,
10853,Composition.section.X.code.coding,http://loinc.org,Nilai pada elemen Composition.section.X.code.coding harus diisi menggunakan kode yang valid dari sistem terminologi http://loinc.org.,10 Desember 2025,v2.0,,
10853,Composition.section.X.code.coding,http://terminology.kemkes.go.id,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Composition.section.X.code.coding",10 Desember 2025,v2.0,,
10853,Composition.section.X.code.coding,http://terminology.kemkes.go.id/CodeSystem/composition-section,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Composition.section.X.code.coding",10 Desember 2025,v2.0,,
10677,Composition.section.X.entry,Reference Any,Elemen Composition.section.X.entry dapat mereferensikan resource FHIR yang valid.,10 Desember 2025,v2.0,,
10854,Composition.section.X.text.status,http://hl7.org/fhir/narrative-status,Nilai pada elemen Composition.section.X.text.status harus sesuai dengan sistem http://hl7.org/fhir/narrative-status.,10 Desember 2025,v2.0,,
10020,Composition.status,http://hl7.org/fhir/composition-status,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Composition.status",14 Maret 2024,v1.0,,
10131,Composition.subject,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10134,Composition.title,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
sudah exists,Composition.type,http://terminology.kemkes.go.id/CodeSystem/composition-type,Data harus menggunakan Composition.type dapat diisi dengan kode LOINC dimana SCALE_TYP = Doc.  Format pengisian lihat Dokumen Lampiran Standar Terminologi SATUSEHAT sub-bab Composition.type.coding,14 Maret 2024,v1.0,,
10021,Composition.type.coding,http://loinc.org,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Composition.type.coding",14 Maret 2024,v1.0,,
10409,Condition.bodySite,http://terminology.kemkes.go.id/CodeSystem/clinical-term,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Condition.bodySite atau akses Lampiran Terminology bodysite disini",14 Maret 2024,v1.0,,
10007,Condition.category,http://terminology.hl7.org/CodeSystem/condition-category,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Condition.category",14 Maret 2024,v1.0,,
10007,Condition.category,http://terminology.kemkes.go.id,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Condition.category",10 Desember 2025,v2.0,,
10006,Condition.clinicalStatus,http://terminology.hl7.org/CodeSystem/condition-clinical,"Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT sub-bab Condition.clinicalStatus",14 Maret 2024,v1.0,,
10003,Condition.code,"http://hl7.org/fhir/sid/icd-10
http://terminology.kemkes.go.id/CodeSystem/clinical-term
http://snomed.info/sct","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT Lihat sub-bab Condition.code",14 Maret 2024,v1.0,,
10126,Condition.encounter,not null,Data harus terisi (tidak boleh kosong),14 Maret 2024,v1.0,,
10410,Condition.evidence.code,"http://hl7.org/fhir/sid/icd-10
http://terminology.kemkes.go.id/CodeSystem/clinical-term
http://snomed.info/sct","Data harus menggunakan codesystem yang sesuai, lihat Dokumen Lampiran Standar Terminologi SATUSEHAT sub-bab Condition.evidence.code",14 Maret 2024,v1.0,,
10444,Condition.identifier,http://sys-ids.kemkes.go.id/condition/{{org-id}} ,Data harus menggunakan codesystem http://sys-ids.kemkes.go.id/condition/{{org-id}}  dengan {{org-id}} adalah Organization ID faskes,14 Maret 2024,v1.0,,
10844,Condition.onsetAge.code,http://unitsofmeasure.org,Nilai pada elemen Condition.onsetAge.code harus sesuai dengan sistem http://unitsofmeasure.org.,10 Desember 2025,v2.0,,
10843,Condition.onsetAge.value,decimal,Nilai pada elemen Condition.onsetAge.value harus berupa tipe data decimal.,10 Desember 2025,v2.0,,
10402,Condition.onsetDateTime,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:00,14 Maret 2024,v1.0,,
10842,Condition.onsetPeriod.end,dateTime,Data harus menggunakan format datetime YYYY-MM-DDThh:mm:ss+00:14,10 Desember 2025,v2.0,,
